game_id,date,season,home_team,away_team,spread,over_under,home_moneyline
240106021,2004-01-06,2004,Toronto Maple Leafs,Nashville Predators,-1.5,5.5,-105.0
240107011,2004-01-07,2004,New Jersey Devils,Pittsburgh Penguins,-1.5,5.5,-105.0
240108001,2004-01-08,2004,Boston Bruins,Pittsburgh Penguins,-1.5,5.5,-105.0
240108004,2004-01-08,2004,Chicago Blackhawks,Calgary Flames,-1.5,5.5,-105.0
240108007,2004-01-08,2004,Carolina Hurricanes,New York Rangers,-1.5,5.5,-105.0
240108010,2004-01-08,2004,Montreal Canadiens,Tampa Bay Lightning,-1.5,5.5,-105.0
240108012,2004-01-08,2004,New York Islanders,Edmonton Oilers,-1.5,5.5,-105.0
240108018,2004-01-08,2004,San Jose Sharks,Columbus Blue Jackets,-1.5,5.5,-105.0
240108021,2004-01-08,2004,Toronto Maple Leafs,Ottawa Senators,-1.5,5.5,-105.0
240108027,2004-01-08,2004,Nashville Predators,Colorado Avalanche,-1.5,5.5,-105.0
240109002,2004-01-09,2004,Buffalo Sabres,Ottawa Senators,-1.5,5.5,-105.0
240109011,2004-01-09,2004,New Jersey Devils,Tampa Bay Lightning,-1.5,5.5,-105.0
240109023,2004-01-09,2004,Washington Capitals,Carolina Hurricanes,-1.5,5.5,-105.0
240109025,2004-01-09,2004,Anaheim Mighty Ducks,Vancouver Canucks,-1.5,5.5,-105.0
240109030,2004-01-09,2004,Minnesota Wild,Phoenix Coyotes,-1.5,5.5,-105.0
240110001,2004-01-09,2004,Boston Bruins,Detroit Red Wings,-1.5,5.5,-105.0
240110003,2004-01-10,2004,Calgary Flames,Florida Panthers,-1.5,5.5,-105.0
240110008,2004-01-10,2004,Los Angeles Kings,Columbus Blue Jackets,-1.5,5.5,-105.0
240110009,2004-01-09,2004,Dallas Stars,Colorado Avalanche,-1.5,5.5,-105.0
240110012,2004-01-09,2004,New York Islanders,New York Rangers,-1.5,5.5,-105.0
240110015,2004-01-10,2004,Philadelphia Flyers,Edmonton Oilers,-1.5,5.5,-105.0
240110016,2004-01-09,2004,Pittsburgh Penguins,Montreal Canadiens,-1.5,5.5,-105.0
240110021,2004-01-10,2004,Toronto Maple Leafs,New Jersey Devils,-1.5,5.5,-105.0
240110027,2004-01-10,2004,Nashville Predators,St. Louis Blues,-1.5,5.5,-105.0
240111004,2004-01-11,2004,Chicago Blackhawks,Colorado Avalanche,-1.5,5.5,-105.0
240111007,2004-01-10,2004,Carolina Hurricanes,Ottawa Senators,-1.5,5.5,-105.0
240111013,2004-01-10,2004,New York Rangers,Tampa Bay Lightning,-1.5,5.5,-105.0
240111022,2004-01-11,2004,Vancouver Canucks,Florida Panthers,-1.5,5.5,-105.0
240111023,2004-01-10,2004,Washington Capitals,Edmonton Oilers,-1.5,5.5,-105.0
240111024,2004-01-11,2004,Phoenix Coyotes,Atlanta Thrashers,-1.5,5.5,-105.0
240111025,2004-01-11,2004,Anaheim Mighty Ducks,Columbus Blue Jackets,-1.5,5.5,-105.0
240112001,2004-01-12,2004,Boston Bruins,Buffalo Sabres,-1.5,5.5,-105.0
240112015,2004-01-12,2004,Philadelphia Flyers,Pittsburgh Penguins,-1.5,5.5,-105.0
240112019,2004-01-12,2004,St. Louis Blues,Chicago Blackhawks,-1.5,5.5,-105.0
240112030,2004-01-12,2004,Minnesota Wild,Nashville Predators,-1.5,5.5,-105.0
240113002,2004-01-13,2004,Buffalo Sabres,Philadelphia Flyers,-1.5,5.5,-105.0
240113006,2004-01-13,2004,Edmonton Oilers,Florida Panthers,-1.5,5.5,-105.0
240113010,2004-01-13,2004,Montreal Canadiens,St. Louis Blues,-1.5,5.5,-105.0
240113011,2004-01-13,2004,New Jersey Devils,Ottawa Senators,-1.5,5.5,-105.0
240113013,2004-01-13,2004,New York Rangers,New York Islanders,-1.5,5.5,-105.0
240113016,2004-01-13,2004,Pittsburgh Penguins,Tampa Bay Lightning,-1.5,5.5,-105.0
240113017,2004-01-13,2004,Colorado Avalanche,Anaheim Mighty Ducks,-1.5,5.5,-105.0
240113018,2004-01-13,2004,San Jose Sharks,Dallas Stars,-1.5,5.5,-105.0
240113021,2004-01-13,2004,Toronto Maple Leafs,Calgary Flames,-1.5,5.5,-105.0
240113024,2004-01-13,2004,Phoenix Coyotes,Vancouver Canucks,-1.5,5.5,-105.0
240113027,2004-01-13,2004,Nashville Predators,Los Angeles Kings,-1.5,5.5,-105.0
240114005,2004-01-14,2004,Detroit Red Wings,Chicago Blackhawks,-1.5,5.5,-105.0
240114023,2004-01-14,2004,Washington Capitals,Calgary Flames,-1.5,5.5,-105.0
240114028,2004-01-14,2004,Atlanta Thrashers,Montreal Canadiens,-1.5,5.5,-105.0
240114030,2004-01-14,2004,Minnesota Wild,Los Angeles Kings,-1.5,5.5,-105.0
240115002,2004-01-15,2004,Buffalo Sabres,Boston Bruins,-1.5,5.5,-105.0
240115006,2004-01-15,2004,Edmonton Oilers,Anaheim Mighty Ducks,-1.5,5.5,-105.0
240115013,2004-01-15,2004,New York Rangers,New Jersey Devils,-1.5,5.5,-105.0
240115014,2004-01-15,2004,Ottawa Senators,New York Islanders,-1.5,5.5,-105.0
240115017,2004-01-15,2004,Colorado Avalanche,Dallas Stars,-1.5,5.5,-105.0
240115018,2004-01-15,2004,San Jose Sharks,Vancouver Canucks,-1.5,5.5,-105.0
240115019,2004-01-15,2004,St. Louis Blues,Columbus Blue Jackets,-1.5,5.5,-105.0
240115020,2004-01-15,2004,Tampa Bay Lightning,Carolina Hurricanes,-1.5,5.5,-105.0
240115027,2004-01-15,2004,Nashville Predators,Phoenix Coyotes,-1.5,5.5,-105.0
240116005,2004-01-16,2004,Detroit Red Wings,Phoenix Coyotes,-1.5,5.5,-105.0
240116015,2004-01-16,2004,Philadelphia Flyers,Toronto Maple Leafs,-1.5,5.5,-105.0
